,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
61,0,4,0,0,0,Quality Risk,2.0,11.0,-0.6666666666666666,underestimated
62,0,1,0,0,0,Enhancement,3.0,6.0,-0.75,underestimated
64,0,14,1,0,1,Sub-task,2.0,27.0,-0.3333333333333333,underestimated
65,0,14,1,0,1,Task,1.0,29.0,0.38095238095238093,overestimated
66,0,0,1,0,1,Story,-1.0,12.0,-0.16666666666666666,underestimated
67,0,0,2,0,2,Task,2.0,29.0,7.0,overestimated
68,0,3,2,0,2,Task,2.0,15.0,11.0,overestimated
69,0,3,0,0,0,Task,2.0,6.0,7.0,overestimated
70,0,14,4,0,4,Bug,3.0,38.0,7.0,overestimated
72,4,7,1,1,0,Task,2.0,19.0,-0.3333333333333333,underestimated
73,0,3,1,0,1,Task,2.0,8.0,1.0,overestimated
74,0,6,4,0,4,Feature Request,2.0,36.0,-0.6666666666666666,underestimated
75,0,6,0,0,0,Feature Request,2.0,11.0,5.0,overestimated
76,0,7,1,0,1,Feature Request,2.0,19.0,7.0,overestimated
77,0,0,3,1,2,Bug,3.0,20.0,-0.5,underestimated
78,0,0,0,0,0,Story,-1.0,7.0,0.18181818181818182,overestimated
79,0,0,0,0,0,Story,2.0,11.0,-0.2857142857142857,underestimated
80,0,0,0,0,0,Story,2.0,13.0,-0.5,underestimated
81,0,0,0,0,0,Story,2.0,14.0,-0.8571428571428571,underestimated
82,1,0,0,0,0,Story,2.0,20.0,-0.8571428571428571,underestimated
83,0,0,0,0,0,Task,2.0,22.0,-0.8235294117647058,underestimated
84,0,1,0,0,0,Sub-task,2.0,10.0,1.0,overestimated
85,0,1,0,0,0,Sub-task,2.0,8.0,0.3333333333333333,overestimated
88,3,1,0,0,0,Task,2.0,6.0,3.0,overestimated
89,0,0,1,0,1,Feature Request,3.0,12.0,-0.6666666666666666,underestimated
90,0,3,0,0,0,Task,2.0,18.0,-0.5,underestimated
91,0,2,1,1,0,Bug,2.0,16.0,10.0,overestimated
92,0,8,1,1,0,Bug,2.0,15.0,3.0,overestimated
93,0,19,2,1,1,Feature Request,2.0,36.0,-0.3333333333333333,underestimated
94,0,0,0,0,0,Task,3.0,6.0,-0.875,underestimated
96,0,4,0,0,0,Bug,3.0,11.0,2.0,overestimated
97,1,9,1,1,0,Task,2.0,36.0,0.4666666666666667,overestimated
98,0,6,0,0,0,Task,3.0,20.0,-0.9069767441860465,underestimated
99,0,6,2,0,2,Bug,3.0,15.0,8.666666666666666,overestimated
100,0,6,0,0,0,Bug,3.0,23.0,1.0,overestimated
101,0,10,1,1,0,Bug,4.0,32.0,95.0,overestimated
102,0,1,0,0,0,Task,3.0,18.0,3.3333333333333335,overestimated
103,0,0,0,0,0,Task,2.0,13.0,-0.5714285714285714,underestimated
104,0,1,0,0,0,Feature Request,2.0,26.0,11.333333333333334,overestimated
105,0,2,1,1,0,Task,2.0,19.0,-0.6666666666666666,underestimated
106,0,4,1,1,0,Task,3.0,11.0,3.0,overestimated
108,0,6,0,0,0,Bug,2.0,5.0,-0.875,underestimated
109,0,1,0,0,0,Bug,4.0,5.0,1.5,overestimated
110,0,7,0,0,0,Task,2.0,9.0,1.6666666666666667,overestimated
111,0,0,1,1,0,Task,2.0,7.0,-0.8387096774193549,underestimated
112,0,3,14,0,14,Task,2.0,78.0,2.0,overestimated
113,0,5,0,0,0,Feature Request,2.0,9.0,1.0,overestimated
114,3,1,0,0,0,Feature Request,2.0,6.0,-0.75,underestimated
115,0,2,1,1,0,Feature Request,3.0,15.0,-0.9,underestimated
116,0,7,1,1,0,Feature Request,2.0,9.0,-0.6666666666666666,underestimated
118,0,0,0,0,0,Task,2.0,9.0,-0.875,underestimated
119,0,0,0,0,0,Task,1.0,20.0,-0.5,underestimated
120,0,7,0,0,0,Task,3.0,15.0,-0.5,underestimated
121,0,10,1,1,0,Bug,1.0,29.0,0.6666666666666666,overestimated
122,0,9,0,0,0,Bug,0.0,8.0,1.0,overestimated
123,0,8,2,2,0,Bug,1.0,22.0,-0.9090909090909091,underestimated
124,0,16,3,2,1,Component Upgrade,0.0,46.0,3.0,overestimated
125,0,6,0,0,0,Task,2.0,4.0,3.0,overestimated
126,0,5,0,0,0,Bug,2.0,15.0,-0.5,underestimated
127,0,6,2,1,1,Task,2.0,17.0,-0.3333333333333333,underestimated
128,0,10,1,1,0,Bug,1.0,15.0,2.0,overestimated
130,2,19,1,1,0,Task,2.0,48.0,1.2,overestimated
132,0,2,4,3,1,Bug,3.0,42.0,2.0,overestimated
133,0,5,2,0,2,Bug,3.0,19.0,-0.6666666666666666,underestimated
134,0,22,1,0,1,Bug,2.0,20.0,2.0,overestimated
136,0,11,0,0,0,Bug,0.0,17.0,2.0,overestimated
137,0,3,0,0,0,Task,1.0,13.0,19.0,overestimated
138,0,1,1,0,1,Task,2.0,7.0,3.0,overestimated
139,0,5,0,0,0,Bug,2.0,12.0,22.0,overestimated
140,0,4,0,0,0,Task,3.0,7.0,3.3333333333333335,overestimated
142,0,1,0,0,0,Task,2.0,9.0,14.0,overestimated
143,0,2,0,0,0,Task,2.0,13.0,-0.4,underestimated
144,0,12,2,1,1,Task,1.0,22.0,1.0,overestimated
146,0,1,2,1,1,Bug,2.0,15.0,2.0,overestimated
148,0,9,1,0,1,Bug,1.0,19.0,-0.6666666666666666,underestimated
149,0,2,2,0,2,Bug,0.0,20.0,-0.6666666666666666,underestimated
150,0,6,3,1,2,Bug,1.0,24.0,-0.5,underestimated
151,0,13,9,4,5,Bug,1.0,29.0,-0.75,underestimated
152,0,9,2,1,1,Bug,2.0,38.0,-0.75,underestimated
153,0,1,2,0,2,Bug,2.0,21.0,7.0,overestimated
154,0,11,4,2,2,Bug,1.0,47.0,-0.6666666666666666,underestimated
155,0,1,3,2,1,Bug,1.0,22.0,1.0,overestimated
157,0,11,2,0,2,Bug,0.0,30.0,-0.8333333333333334,underestimated
158,0,11,2,1,1,Bug,2.0,26.0,-0.6666666666666666,underestimated
160,0,4,2,2,0,Bug,2.0,23.0,-0.5,underestimated
162,0,4,1,1,0,Bug,2.0,19.0,2.0,overestimated
163,0,2,1,1,0,Enhancement,4.0,26.0,-0.5,underestimated
167,0,1,2,0,2,Task,2.0,7.0,-0.6666666666666666,underestimated
168,0,2,1,0,1,Task,2.0,8.0,-0.6666666666666666,underestimated
169,0,2,0,0,0,Task,2.0,5.0,-0.5,underestimated
171,0,3,0,0,0,Task,4.0,9.0,46.0,overestimated
172,0,4,0,0,0,Task,2.0,5.0,0.8571428571428571,overestimated
174,0,8,0,0,0,Task,2.0,7.0,-0.937112488928255,underestimated
175,1,8,2,0,2,Task,2.0,19.0,-0.951048951048951,underestimated
176,5,13,2,0,2,Task,2.0,16.0,16.823529411764707,overestimated
177,0,10,0,0,0,Task,2.0,16.0,8.0,overestimated
178,0,1,1,1,0,Bug,2.0,14.0,14.0,overestimated
180,0,5,0,0,0,Task,3.0,26.0,18.0,overestimated
184,0,12,1,0,1,Feature Request,2.0,22.0,-0.6666666666666666,underestimated
185,0,6,1,0,1,Feature Request,1.0,15.0,-0.4,underestimated
186,0,1,0,0,0,Bug,2.0,2.0,6.0,overestimated
187,6,4,3,1,2,Task,1.0,19.0,3.0,overestimated
189,0,4,0,0,0,Task,2.0,2.0,-0.5,underestimated
190,0,6,0,0,0,Task,3.0,4.0,3.0,overestimated
191,0,3,0,0,0,Bug,2.0,9.0,14.0,overestimated
192,0,1,0,0,0,Patch,2.0,5.0,-0.6666666666666666,underestimated
193,0,0,0,0,0,Task,2.0,2.0,-0.5,underestimated
197,0,2,1,1,0,Bug,2.0,8.0,239.0,overestimated
199,0,2,0,0,0,Task,1.0,15.0,-0.5882352941176471,underestimated
200,0,5,0,0,0,Task,1.0,14.0,-0.6666666666666666,underestimated
201,0,7,0,0,0,Task,1.0,12.0,-0.7692307692307693,underestimated
202,0,6,0,0,0,Task,1.0,24.0,-0.2222222222222222,underestimated
203,0,9,1,1,0,Task,1.0,26.0,-0.9090909090909091,underestimated
204,0,1,0,0,0,Bug,2.0,10.0,1.0,overestimated
208,0,2,0,0,0,Task,1.0,21.0,0.2222222222222222,overestimated
209,0,3,2,2,0,Task,2.0,34.0,1.0,overestimated
210,0,19,0,0,0,Task,2.0,32.0,-0.2222222222222222,underestimated
211,0,1,0,0,0,Bug,1.0,20.0,2.0,overestimated
212,0,2,0,0,0,Task,2.0,13.0,2.0,overestimated
214,0,8,0,0,0,Bug,2.0,22.0,0.6666666666666666,overestimated
215,0,7,0,0,0,Bug,2.0,29.0,-0.6666666666666666,underestimated
217,0,2,0,0,0,Bug,2.0,9.0,-0.5,underestimated
218,0,7,0,0,0,Bug,2.0,28.0,1.0,overestimated
219,0,5,0,0,0,Bug,2.0,18.0,2.8,overestimated
220,0,2,0,0,0,Enhancement,2.0,35.0,-0.5748218527315915,underestimated
221,0,5,0,0,0,Enhancement,2.0,28.0,0.9090909090909091,overestimated
222,0,1,0,0,0,Bug,3.0,21.0,2.0,overestimated
223,0,7,0,0,0,Bug,2.0,21.0,14.0,overestimated
224,0,1,0,0,0,Bug,2.0,20.0,6.0,overestimated
225,0,3,0,0,0,Bug,2.0,26.0,14.0,overestimated
227,0,1,0,0,0,Enhancement,2.0,13.0,2.2666666666666666,overestimated
228,0,5,1,1,0,Technical task,2.0,17.0,2.923076923076923,overestimated
229,1,0,0,0,0,Bug,2.0,12.0,1.6923076923076923,overestimated
230,3,6,1,1,0,Enhancement,2.0,11.0,2.5714285714285716,overestimated
231,1,5,0,0,0,Bug,2.0,16.0,0.08695652173913043,overestimated
232,1,2,0,0,0,Bug,2.0,8.0,8.666666666666666,overestimated
233,1,1,0,0,0,Enhancement,3.0,17.0,0.18181818181818182,overestimated
234,1,0,0,0,0,Enhancement,3.0,16.0,2.4285714285714284,overestimated
236,0,0,0,0,0,Bug,2.0,12.0,6.0,overestimated
238,0,0,0,0,0,Documentation,1.0,16.0,-0.9172932330827067,underestimated
239,0,0,0,0,0,Documentation,1.0,12.0,-0.4,underestimated
240,0,1,0,0,0,Enhancement,1.0,12.0,3.3333333333333335,overestimated
241,0,0,0,0,0,Task,2.0,8.0,-0.5384615384615384,underestimated
242,0,9,0,0,0,Task,2.0,12.0,-0.01639344262295082,underestimated
244,0,6,1,1,0,Task,2.0,10.0,-0.75,underestimated
245,0,0,0,0,0,Task,2.0,20.0,-0.6666666666666666,underestimated
246,0,0,0,0,0,Task,2.0,17.0,479.0,overestimated
247,0,0,0,0,0,Enhancement,2.0,16.0,2.0,overestimated
248,0,7,0,0,0,Enhancement,2.0,31.0,0.5,overestimated
249,0,3,1,0,1,Bug,3.0,23.0,-0.6666666666666666,underestimated
250,0,8,0,0,0,Bug,2.0,23.0,2.0,overestimated
251,0,4,0,0,0,Enhancement,2.0,26.0,2.0,overestimated
252,0,1,3,3,0,Enhancement,2.0,41.0,-0.6666666666666666,underestimated
255,0,4,0,0,0,Task,2.0,9.0,1.0,overestimated
257,0,2,0,0,0,Task,2.0,10.0,-0.5,underestimated
259,0,3,2,1,1,Task,2.0,13.0,-0.6666666666666666,underestimated
260,0,8,0,0,0,Task,1.0,19.0,-0.6666666666666666,underestimated
261,0,0,1,1,0,Task,2.0,14.0,11.714285714285714,overestimated
262,0,0,0,0,0,Task,2.0,11.0,-0.3333333333333333,underestimated
263,0,0,1,1,0,Task,2.0,26.0,-0.9565217391304348,underestimated
264,0,2,0,0,0,Task,2.0,7.0,0.6666666666666666,overestimated
265,0,6,1,1,0,Task,2.0,10.0,-0.6666666666666666,underestimated
266,0,1,0,0,0,Task,2.0,13.0,2.0,overestimated
267,0,0,2,1,1,Task,2.0,20.0,0.5,overestimated
268,0,0,0,0,0,Task,2.0,16.0,-0.46153846153846156,underestimated
269,0,0,0,0,0,Task,2.0,19.0,-0.8571428571428571,underestimated
270,0,0,0,0,0,Task,2.0,15.0,-0.40848806366047746,underestimated
271,0,0,0,0,0,Task,2.0,11.0,-0.6666666666666666,underestimated
272,0,0,2,1,1,Task,2.0,23.0,8.0,overestimated
274,0,4,2,0,2,Task,2.0,36.0,-0.5,underestimated
275,0,2,0,0,0,Task,2.0,23.0,-0.6666666666666666,underestimated
276,0,1,0,0,0,Task,2.0,11.0,-0.5,underestimated
277,0,1,0,0,0,Task,2.0,10.0,-0.6666666666666666,underestimated
278,0,0,0,0,0,Task,2.0,12.0,-0.9228007181328546,underestimated
279,0,0,0,0,0,Task,2.0,22.0,-0.3333333333333333,underestimated
280,0,1,0,0,0,Task,2.0,10.0,-0.5,underestimated
282,0,1,1,0,1,Task,2.0,11.0,-0.6666666666666666,underestimated
283,0,1,2,2,0,Task,2.0,9.0,0.6666666666666666,overestimated
284,0,1,2,2,0,Task,2.0,11.0,-0.4,underestimated
286,0,2,1,1,0,Task,2.0,8.0,-0.6666666666666666,underestimated
290,0,5,1,1,0,Bug,1.0,15.0,-0.6666666666666666,underestimated
291,0,6,1,0,1,Task,2.0,28.0,2.0,overestimated
292,0,0,1,0,1,Task,1.0,9.0,1.0,overestimated
293,0,4,0,0,0,Task,2.0,13.0,6.0,overestimated
294,0,7,1,1,0,Enhancement,2.0,21.0,11.333333333333334,overestimated
295,0,4,1,0,1,Task,0.0,23.0,-0.6666666666666666,underestimated
296,0,14,2,2,0,Bug,0.0,32.0,2.0,overestimated
297,0,9,0,0,0,Feature Request,2.0,36.0,15.0,overestimated
298,0,4,0,0,0,Enhancement,1.0,25.0,-0.6666666666666666,underestimated
299,0,35,2,2,0,Feature Request,1.0,46.0,-0.75,underestimated
300,0,14,2,1,1,Bug,2.0,54.0,-0.8181818181818182,underestimated
301,0,1,2,1,1,Task,1.0,22.0,-0.7837837837837838,underestimated
302,3,3,1,1,0,Task,2.0,9.0,-0.8,underestimated
303,0,1,0,0,0,Bug,2.0,3.0,-0.8333333333333334,underestimated
304,2,1,0,0,0,Enhancement,2.0,11.0,-0.4,underestimated
305,2,1,0,0,0,Enhancement,2.0,12.0,-0.2222222222222222,underestimated
306,3,2,0,0,0,Bug,0.0,13.0,3.0,overestimated
307,2,1,0,0,0,Bug,2.0,10.0,0.6666666666666666,overestimated
308,5,24,0,0,0,Task,0.0,20.0,-0.5384615384615384,underestimated
309,1,2,0,0,0,Bug,0.0,22.0,-0.5,underestimated
310,2,0,0,0,0,Bug,1.0,26.0,-0.75,underestimated
311,2,1,0,0,0,Bug,0.0,30.0,2.0,overestimated
313,1,3,2,1,1,Enhancement,2.0,18.0,-0.6666666666666666,underestimated
314,2,4,0,0,0,Bug,0.0,27.0,-0.6666666666666666,underestimated
315,0,2,0,0,0,Bug,0.0,19.0,2.0,overestimated
317,1,3,0,0,0,Bug,2.0,26.0,-0.2,underestimated
318,1,3,0,0,0,Bug,2.0,19.0,-0.5,underestimated
319,2,1,0,0,0,Bug,2.0,20.0,-0.8571428571428571,underestimated
320,0,2,0,0,0,Bug,0.0,24.0,-0.5,underestimated
